VF_ID	log10(human/non_human)	Virulence_factor
CVF232	1.56992	Autolysin (GW protein) (CVF232)
VF0112	0.09010	RpoS (VF0112)
CVF199	0.46156	Heme uptake (CVF199)
CVF374	-0.19561	Type III secretion system (CVF374)
CVF091	2.35331	Lipase (CVF091)
CVF109	1.45560	Autolysin (CVF109)
CVF144	0.98313	C5a peptidase (CVF144)
CVF644	0.22182	Quorum sensing system (CVF644)
SS035	-0.11419	T3SS (SS035)
AI114	-0.54070	Flp pili (AI114)
IA065	-0.21706	direct heme uptake system (IA065)
VF0124	0.28433	LPS (VF0124)
CVF075	2.34208	Exotoxin (CVF075)
VF0105	1.59724	Lpf (VF0105)
CVF015	1.35497	ShdA (CVF015)
AI375	2.33945	Opa (AI375)
CVF473	0.29198	LPS glucosylation (CVF473)
VF0286	-0.35247	PhoP (VF0286)
VF0333	0.08707	T2SS (VF0333)
CVF631	2.33413	Peg (CVF631)
VF0487	-0.39161	Rvh T4SS (VF0487)
VF0567	1.63591	Type 3 fimbriae (VF0567)
CVF247	-0.43212	Sortase B (CVF247)
VF0431	0.73615	Type IV pili (VF0431)
SS182	0.43706	AAI/SCI-II (SS182)
CVF366	0.21873	Filamentous hemagglutinin (FHA) (CVF366)
CVF785	-0.52767	Mannose-sensitive hemagglutinin (Msh) pilus, type IV pili (CVF785)
CVF606	0.69302	Heme binding proteins (CVF606)
AI324	0.11405	IrgA homolog adhesin (Iha) (AI324)
VF0479	-0.03144	T3SS (VF0479)
CVF782	0.08350	T6SS (CVF782)
VF0079	-0.25573	Capsule (VF0079)
CVF821	0.98741	Ebp pili (CVF821)
VF0403	0.09832	Type VII secretion system (VF0403)
AI109	-0.12452	type IV pili (AI109)
AI083	0.73477	type 1 fimbriae (AI083)
VF0369	-0.40232	VirB/VirD4 type IV secretion system (VF0369)
VF0043	-0.40934	Capsule (VF0043)
CVF572	0.74954	Immune inhibitor A metalloproteinase (CVF572)
SS033	-0.08930	T3SS-1 (SS033)
VF0253	0.22795	Isocitrate lyase (VF0253)
CVF538	0.37497	Alkaline protease (CVF538)
VF0488	-0.32541	Rvh T4SS (VF0488)
SS015	-0.36055	T3SS (SS015)
CVF226	2.30559	GW autolysin (CVF226)
CVF011	2.30463	RatB (CVF011)
AI075	1.08722	type 1 fimbriae (AI075)
CVF796	1.30803	Type I fimbriae (CVF796)
CVF532	-0.21268	P. syringae TTSS (CVF532)
SS039	-0.44139	T3SS (SS039)
CVF670	0.03209	Post-translocation chaperone (CVF670)
VF0236	0.18919	OmpA (VF0236)
VF0366	-0.26720	C<beta>G (VF0366)
VF0169	-0.01203	SodB (VF0169)
AI330	0.21162	OmpA (AI330)
CVF661	-0.47113	Tyrosine phosphatase (CVF661)
VF0237	0.36803	Ibes (VF0237)
VF0476	-0.48285	Flp type IV pili (VF0476)
CVF589	-0.54315	Hemolysin (CVF589)
CVF279	-0.03288	Metalloproteinase (CVF279)
CVF021	2.26886	Stc (CVF021)
VF0515	0.12997	MSHA pili (VF0515)
CVF361	0.59115	Iron acquisition/assimilation locus (CVF361)
VF0428	0.21672	Bsa T3SS (VF0428)
VF0455	0.10290	MntABC (VF0455)
AI084	1.75048	type 3 fimbriae (AI084)
SS204	-0.22710	hxc (SS204)
IA054	-0.38052	direct heme uptake system (IA054)
AI062	2.25837	Sth (AI062)
CVF814	0.70076	Phospholipase D (CVF814)
CVF376	0.03957	Ptl type IV secretion system (CVF376)
SS028	-0.42371	T3SS1 (SS028)
VF0457	-0.27813	RecN (VF0457)
VF0244	0.10846	Hyaluronic acid capsule (VF0244)
CVF044	2.24872	Pla (CVF044)
CVF249	-0.25916	Lipoprotein-specific signal peptidase II (CVF249)
TX001	-0.21704	VgrG1 (TX001)
SS055	-0.44770	T4SS (SS055)
CVF421	-0.06128	VirR/VirS two component system (CVF421)
CVF867	0.42092	YapE (CVF867)
CVF001	1.81104	Agf/Csg (CVF001)
SS195	0.10459	Imp (SS195)
CVF754	2.22987	Colicin-like Usp (CVF754)
SS032	-0.05903	T3SS (SS032)
AI073	0.61835	mannose-resistant fimbriae, mrf (AI073)
AI066	1.10653	Sti (AI066)
VF0102	0.65627	Type 1 fimbriae (VF0102)
CVF807	2.20778	rOmpB/Sca5 (CVF807)
VF0565	0.63714	Aerobactin (VF0565)
CVF776	0.01385	Outer membrane protein (CVF776)
CVF554	0.06757	Pyochelin receptor (CVF554)
VF0470	-0.02726	Phospholipase C (VF0470)
AI067	1.40289	Stj (AI067)
AI172	-0.21466	Fibronectin-binding protein (AI172)
VF0373	-0.59657	Flagella (VF0373)
CVF378	0.55700	SphB1 (CVF378)
CVF041	0.64435	Invasin A (CVF041)
CVF607	-0.70897	Virulence-associated proteins (CVF607)
VF0503	0.13214	Dot/Icm T4SS (VF0503)
CVF107	2.18952	Cell wall associated fibronectin binding protein (CVF107)
SS178	0.18791	HSI-1 (Hcp-secretion island 1) (SS178)
CVF093	0.88335	Thermonuclease (CVF093)
VF0078	0.35111	LOS (VF0078)
CVF502	-0.88095	Transferrin-binding protein 1 (CVF502)
CVF870	0.72821	YapV (CVF870)
VF0039	-0.13108	Hia/Hsf (VF0039)
CVF329	-0.62173	Sigma M (CVF329)
AI072	0.58925	Proteus-like (MR/P) fimbriae, mannose resistant (biofilm formation) (AI072)
SS019	0.38426	LEE encoded T3SS (SS019)
CVF033	2.17305	TTSS effectors translocated via both systems (CVF033)
CVF167	1.38216	Streptolysin O (CVF167)
VF0035	-0.13767	TTSS (VF0035)
SS049	-1.07700	VirB/VirD system (SS049)
SS192	-0.28543	TSS-5 (SS192)
VF0409	1.45492	T3SS2 (VF0409)
VF0581	-0.07667	T7SS (VF0581)
VF0362	-0.11444	BopD (VF0362)
VF0401	0.36664	Type IV pili (VF0401)
CVF100	2.14779	Fibronectin binding proteins (CVF100)
CVF304	-0.01605	Phospholipases C (CVF304)
VF0083	-0.12290	TTSS (VF0083)
SS134	0.39584	YhlA-YhlB (SS134)
IA048	-0.03727	direct heme uptake system (IA048)
CVF764	2.13950	Factor H binding protein (CVF764)
SS022	0.47193	T3SS (SS022)
VF0229	0.58996	Aerobactin (VF0229)
VF0101	-0.18304	Vi antigen (VF0101)
VF0113	-0.07839	Fur (VF0113)
VF0472	0.80662	PNAG (VF0472)
CVF314	-1.65364	Iron-dependent regulator (CVF314)
VF0166	-0.22223	RpoS (VF0166)
VF0317	-0.84391	DevRS (VF0317)
AI241	1.29008	Fibronectin-binding protein (AI241)
SS127	0.11069	MhaB1-MhaC (SS127)
SS131	0.41082	ShlA-ShlB (SS131)
CVF217	0.12065	Cag PAI type IV secretion system (CVF217)
Yst1	0.45305	T2SS (Yst1) (CVF045)
CVF239	0.38525	Hemoglobin binding protein (CVF239)
CVF402	1.35859	Cwp66 (CVF402)
VF0123	0.55312	Aerobactin (VF0123)
VF0220	0.96796	P fimbriae (VF0220)
AI309	0.00150	SP41/UgpB (AI309)
IA063	-0.22563	direct heme uptake system (IA063)
VF0141	0.20304	Capsule (VF0141)
CVF504	-0.51265	Heme/Hemopexin-binding complex (CVF504)
AI311	0.00492	BAbS19_II05480 (AI311)
CVF863	1.26853	Invasin B (CVF863)
CVF505	-0.60340	Hemoglobin and hemoglobin-haptoglobin binding proteins (Hgps) (CVF505)
VF0489	-0.39889	TlyC (VF0489)
VF0154	-0.29962	<i>lsp</i> T2SS (VF0154)
AI310	-0.01217	BRA0655 (AI310)
CVF414	0.22857	Enterotoxin (CVF414)
CVF490	-0.41049	Hia/Hsf (CVF490)
SS130	0.48714	ShlA-ShlB (SS130)
VF0365	-0.06026	VirB type IV secretion system (VF0365)
VF0306	0.03891	AhpC (VF0306)
AI077	0.71175	Mrx fimbriae (AI077)
CVF231	2.07976	Internalin B (GW protein) (CVF231)
AI115	0.60387	type IV pili (AI115)
SS128	0.36669	MhaB2-MhaC (SS128)
AI106	-0.61393	type IV pili (AI106)
VF0512	0.17200	MAM7 (VF0512)
AI047	2.07331	Stg fimbriae (AI047)
VF0116	0.95353	TTSS(SPI-1 encode) (VF0116)
CVF389	-0.08173	CadF (CVF389)
VF0414	0.00409	RicA (VF0414)
AI063	1.54780	Sta (AI063)
SS020	1.19184	LEE encoded T3SS (SS020)
VF0026	0.14969	Ptx (VF0026)
CVF466	0.13732	T2SS (Type II secretion system) (CVF466)
VF0441	0.05048	OatA (VF0441)
VF0061	1.05959	SMase (VF0061)
SS137	0.27346	ShlA-ShlB (SS137)
VF0155	-0.53040	Type IV pili (VF0155)
VF0002	1.07902	<beta>-hemolysin (VF0002)
VF0458	0.99799	Type IV pili (VF0458)
AI246	2.04650	Fibronectin-binding protein (AI246)
AI243	2.04476	Fibronectin-binding protein (AI243)
AI169	-0.51862	Fibronectin-binding protein (AI169)
CVF193	2.04128	Class 5 outer membrane protein (CVF193)
VF0126	0.19015	TCP (VF0126)
CVF684	1.12861	CFA/I fimbriae (CVF684)
SS141	0.42094	XhlA-XhlB (SS141)
VF0230	0.34919	IroN (VF0230)
VF0299	-0.77635	Mycobactin (VF0299)
SS213	-0.17699	xps (SS213)
SS140	0.42402	PhlA-PhlB (SS140)
CVF142	2.02342	Streptokinase A (CVF142)
CVF639	0.41696	BoaA (CVF639)
IA026	0.04958	staphyloferrin A (IA026)
VF0372	0.35569	Trw type IV secretion system (VF0372)
SS205	0.21436	eps (SS205)
AI102	0.51673	Hemorrhagic Coli pili (HCP) (AI102)
CVF256	0.13302	Toxin-coregulated pilus (type IVB pilus) (CVF256)
TX180	1.01229	SM-PLC (TX180)
CVF303	-1.25606	Lipase (CVF303)
AI037	0.60920	F17 pili (AI037)
VF0477	-0.50444	MSHA type IV pili (VF0477)
VF0153	0.05487	Mip (VF0153)
CVF799	0.24986	OmpA (CVF799)
CVF092	0.94920	Hyaluronate lyase (CVF092)
SS161	-0.67981	MapA (SS161)
SS139	0.35454	PhlA-PhlB (SS139)
VF0538	0.87232	Ebp pili (VF0538)
CVF487	-0.38981	HMW1 (CVF487)
CVF540	-0.26567	Hemolytic phospholipase C (CVF540)
VF0034	0.04644	Brk (VF0034)
AI046	0.90984	Sfp fimbriae (AI046)
VF0025	0.33404	FHA (VF0025)
PGS3	0.98761	PilB-type pili (PGS3) (AI133)
AI245	1.98733	Fibronectin-binding protein (AI245)
VF0406	0.13693	AI-2 (VF0406)
CVF462	0.26118	Mxi-Spa TTSA (type III secretion apparatus) (CVF462)
VF0469	-0.17682	Phospholipase D (VF0469)
SS038	-0.16520	T3SS (SS038)
VF0264	-0.07784	Hpt (VF0264)
AI331	0.21248	NlpI (AI331)
CVF789	0.24614	Heat-stable cytotonic enterotoxin, Ast (CVF789)
SS216	-0.14170	gsp (SS216)
SS048	-0.10167	Lvh T4SSA (SS048)
VF0468	0.26289	PbpG (VF0468)
CVF362	0.02255	Carbon storage regulator A (CVF362)
VF0352	1.96498	AS (VF0352)
AI086	0.44988	CupB fimbriae (AI086)
VF0293	0.59767	IraAB (VF0293)
SS018	0.18803	Ysa T3SS (SS018)
CVF483	0.19736	VirK (CVF483)
CVF822	1.52559	Curli fibers (CVF822)
VF0371	0.11763	BadA/Vomp (VF0371)
AI449	0.82520	CupE fimbriae (AI449)
AI257	-0.42724	Fibronectin-binding protein (AI257)
CVF345	1.95013	MOMP (CVF345)
AI093	1.51472	curli fibers (AI093)
CVF823	0.50819	Afimbrial adhesin AFA-I (CVF823)
CVF379	-1.07209	BrkAB system (CVF379)
CVF152	1.94361	EndoS (CVF152)
CVF669	0.88475	Internalin F (CVF669)
SS142	0.36275	XhlA-XhlB (SS142)
VF0571	0.75512	RcsAB (VF0571)
CVF042	1.13033	Myf/pH6 antigen (CVF042)
VF0527	0.65934	PI-1 (VF0527)
AI228	-0.11992	Fibronectin-binding protein (AI228)
CVF121	0.34775	rlrA islet (CVF121)
VF0304	-0.22491	SodA (VF0304)
VF0014	0.74998	Intercellular adhesion proteins (VF0014)
AI116	0.29612	colonization factor Citrobacter (CFC) type IV fimbriae (AI116)
CVF470	1.92343	IcsP (SopA) (CVF470)
CVF813	-0.21168	Phospholipase A2 (CVF813)
CVF837	1.92343	FmvB (CVF837)
VF0551	0.29292	Rhizoferrin (VF0551)
AI061	1.92113	Std (AI061)
VF0292	-0.07910	CcmC (VF0292)
SS143	0.21423	ShlA-ShlB (SS143)
VF0038	-0.29834	HMW1/HMW2 (VF0038)
CVF095	1.91415	Serine protease (CVF095)
SS168	-0.22901	UpaG (SS168)
VF0041	-0.30279	P5 protein (VF0041)
CVF777	-0.25956	Quorum sensing (CVF777)
CVF320	-0.18252	Nitrate/nitrite transporter (CVF320)
SS169	-0.66633	Sab (SS169)
CVF872	1.90227	Type III secretion system effectors (CVF872)
CVF275	-0.48302	Vibriobactin utilization (CVF275)
VF0433	0.14773	Quorum-sensing (VF0433)
CVF573	0.38363	Internalin-like (CVF573)
CVF053	1.30949	YplA (CVF053)
AI071	0.63911	uroepithelial cell adhesin (UCA) (AI071)
VF0397	0.93790	MisL (VF0397)
CVF632	0.12471	Typhoid toxin (CVF632)
CS20	1.29427	Longus pili (CS20) (AI099)
CVF739	0.79499	Enteroaggregative immunoglobulin repeat protein (CVF739)
SS132	0.20775	HpmA-HpmB (SS132)
SS171	-0.72927	extracellular matrix protein adhesin A (EmaA) (SS171)
AI005	0.96559	E. coli YcbQ laminin-binding fimbriae (ELF) (AI005)
CVF830	1.88255	DipA (CVF830)
CVF765	0.39418	Neisserial surface protein A (CVF765)
CVF612	0.36716	Gelatinase (CVF612)
CVF030	1.07479	Tcf (CVF030)
TX168	0.05592	Plc-1 (TX168)
AI056	0.78366	S. typhimurium fimbriae (Stf) (AI056)
CVF388	0.28702	PEB1/CBF1 (CVF388)
AI059	1.67747	Stb (AI059)
VF0321	0.47461	TTSS(SPI-2 encode) (VF0321)
VF0529	0.42984	PI-1 (VF0529)
VF0582	0.10706	Exolysin (VF0582)
CVF368	1.16107	Fimbriae (CVF368)
SS147	-0.22196	Hsf (SS147)
VF0191	0.09865	TTSS (VF0191)
VF0051	0.82413	Flagella (VF0051)
TX186	0.70179	InhA1, InhA2, InhA3 (TX186)
SS138	0.40535	EthA-EthB (SS138)
CVF614	0.58187	Hyaluronidase (CVF614)
VF0389	-0.15995	mu-toxin (VF0389)
VF0103	1.42451	Agf (VF0103)
CVF808	1.85658	Sca1 (CVF808)
CVF076	0.36665	Exfoliative toxin type A (CVF076)
VF0461	0.87005	Csu fimbriae (VF0461)
CVF637	1.19972	BimA (CVF637)
AI290	1.85119	collagen-binding protein (AI290)
CVF488	-0.33873	HMW2 (CVF488)
VF0048	-0.08630	HmbR (VF0048)
AI316	1.41630	Cwp66 (AI316)
CVF122	0.46366	Choline-binding proteins (CVF122)
CVF735	0.09494	AAI/SCI-II T6SS (CVF735)
AI064	0.75395	Ste (AI064)
VF0214	0.37715	AAFs (VF0214)
SS146	-0.19014	Hia (SS146)
CVF508	0.13972	SpaD-type pili (CVF508)
SS034	1.64513	T3SS-2 (SS034)
CVF828	1.83743	FsaP (CVF828)
PCFO20	-0.24964	coli surface antigen CS18 (PCFO20) (AI031)
CVF018	1.82609	Spv (CVF018)
CVF119	0.68026	Pilus island 1 (CVF119)
CS8	0.80647	colonization factor antigen III, CFA/III (CS8) (AI100)
VF0309	-0.66567	PDIM (VF0309)
CVF120	0.30356	Pilus island 2 (CVF120)
CVF381	1.29957	LPS-modifying enzyme (CVF381)
CVF230	1.62510	Internalin A (LPXTG protein) (CVF230)
CVF014	1.81739	Sef (CVF014)
CVF537	-0.26073	Elastase (CVF537)
VF0291	0.28133	Legiobactin (VF0291)
IA022	0.01456	vibriobactin (IA022)
CVF169	1.81445	ADP-ribosyltransferase SpyA (CVF169)
AI387	1.21831	BapA (AI387)
CVF006	0.11890	Mig-14 (CVF006)
VF0388	1.47434	kappa-toxin (VF0388)
AI078	0.56907	Pix pilus (AI078)
CVF098	1.80551	Clumping factor A (CVF098)
VF0285	0.11724	PcaA (VF0285)
VF0404	1.80249	ECP (VF0404)
VF0528	0.29329	PI-2a (VF0528)
VF0347	0.48424	LplA1 (VF0347)
TX177	-0.06632	vvpE (TX177)
CVF819	0.77657	EcbA (CVF819)
CVF741	1.79330	UpaH, AIDA-I type (CVF741)
CVF017	0.33698	SodCI (CVF017)
TX169	-0.31659	Plc-2 (TX169)
VF0243	0.24700	FBPs (VF0243)
CVF829	1.59477	OmpA (CVF829)
CVF415	0.63862	Alpha-clostripain (CVF415)
CVF693	0.42856	EspN (CVF693)
SS121	-0.45945	LspA1-LspB (SS121)
IA055	0.02287	direct heme uptake system (IA055)
CVF609	1.44920	Esp (CVF609)
VF0142	1.25555	Anthrax toxin (VF0142)
AI060	1.77107	Stc (AI060)
CVF474	-0.05146	Aerobactin synthesis (CVF474)
VF0486	1.17298	Type I pili (VF0486)
VF0296	-0.99082	SigH (VF0296)
VF0578	1.76118	VpadF (VF0578)
AI001	0.90890	pyelonephritis-associated pilus, Pap pilus (AI001)
VF0269	-0.46840	HxuABC (VF0269)
AI134	1.31749	Bee (biofilm enhancer in enterococci) (AI134)
AI085	1.55534	CupA fimbriae (AI085)
SS096	0.78444	NalP (neisserial autotransported lipoprotein) /AspA (SS096)
CVF083	1.74763	Leukotoxin E (CVF083)
VF0398	0.97862	ShdA (VF0398)
VF0509	0.71772	YapJ (VF0509)
AI231	-0.58589	Fibronectin-binding protein (AI231)
VF0422	-0.17171	AdsA (VF0422)
CVF412	-0.19315	Mu-toxin (neuraminidase) (CVF412)
CVF398	-0.24346	Cytolethal distending toxin (CVF398)
VF0508	0.76883	YapK (VF0508)
CVF241	1.73365	Listeriolysin O (CVF241)
SS109	0.76484	EhaA (SS109)
CVF481	1.20657	IcsA (VirG) (CVF481)
VF0349	-0.18831	FbpA (VF0349)
AI069	1.72649	peg (AI069)
AI137	-0.23357	PI-2b pili (AI137)
SS058	0.63615	SphB1 (SS058)
AI396	0.85922	M. catarrhalis adherence protein (McaP) (AI396)
VF0019	0.68501	SDr (VF0019)
CVF357	0.45396	Legiobactin (CVF357)
CVF087	1.70805	Gamma hemolysin (CVF087)
AI070	1.37148	PMF pili (AI070)
VF0507	0.70309	YapV (VF0507)
CVF104	1.70044	Extracellular adherence protein/MHC analogous protein (CVF104)
CVF816	1.70044	Sca2 (CVF816)
CVF355	1.10275	RtxA (CVF355)
IA020	-0.37945	amonabactin (IA020)
VF0139	1.69271	Pla (VF0139)
VF0109	0.42976	SodCI (VF0109)
CVF866	1.35971	YapC (CVF866)
CVF448	-0.14979	Sat (CVF448)
VF0046	0.42976	Tbp (VF0046)
AI051	1.69271	type 2 and 3 fimbriae (AI051)
AI186	-0.30100	Fibronectin-binding protein (AI186)
CVF449	0.36160	Pic (CVF449)
AI119	-1.19883	type IV pili (AI119)
CVF141	0.09322	SpeB/cysteine proteinase (CVF141)
CVF517	-1.78646	Diphtheria toxin repressor DtxR (CVF517)
VF0557	0.51278	ArgP (VF0557)
AI229	1.68483	Fibronectin-binding protein (AI229)
VF0238	-0.46295	AslA (VF0238)
VF0350	0.21181	BSH (VF0350)
VF0068	-0.21099	p60 (VF0068)
CVF455	-0.51860	Cytolethal distending toxin (CVF455)
IA045	-1.76205	HasA-type hemophore-mediated heme uptake system (IA045)
CVF831	1.66448	RipA (CVF831)
VF0047	0.26299	Lbp (VF0047)
AI079	0.59100	ghf fimbriae (AI079)
VF0024	0.19945	Aureolysin (VF0024)
CVF621	0.03908	icm/dot type IVB locus (CVF621)
CVF524	0.83695	Rhamnolipid biosynthesis (CVF524)
CVF485	0.55206	Haemagglutinating pili (CVF485)
CVF467	-0.31037	SigA (CVF467)
AI132	1.31802	PilA-type pili (PGS1, pilin gene clusters 1) (AI132)
CVF806	1.65180	rOmpA/Sca0 (CVF806)
AI158	0.20579	Fibronectin-binding protein (AI158)
CVF401	1.64749	S-layer protein (CVF401)
VF0442	0.08068	PgdA (VF0442)
AI434	0.81791	laminin-binding (AI434)
AI155	-0.19226	Fibronectin-binding protein (AI155)
VF0575	0.50298	Invasin C/Ilp (VF0575)
CVF236	1.63430	ActA (CVF236)
SS133	-1.03685	HhdA-HhdB (SS133)
AI053	0.68638	Salmonella atypical fimbrial (Saf) (AI053)
CVF050	0.49746	YadA (CVF050)
AI435	1.29558	S. sanguinis adhesin B (SsaB) (AI435)
CVF246	0.61715	Sortase A (CVF246)
CVF600	-0.67825	Omp43 (CVF600)
VF0049	0.34179	HpuAB (VF0049)
AI209	0.07707	Fibronectin-binding protein (AI209)
CVF445	0.25409	Vacuolating autotransporter gene (CVF445)
CVF135	1.18469	Streptodornase-alpha (CVF135)
CVF116	1.62528	Streptococcal collagen-like proteins (CVF116)
CVF570	0.35896	Phosphatidylinositol-specific phospholipase C (PI-PLC) (CVF570)
SS135	0.35896	HylA (SS135)
AI010	0.60646	Afimbrial adhesin, AFA-I, mannose-resistant adhesin (AI010)
VF0354	1.42376	EfaA (VF0354)
CVF558	1.08807	Anthrolysin O (CVF558)
VF0400	0.02435	SinH (VF0400)
CVF599	0.00575	Bartonella adhesin A (CVF599)
VF0100	-0.72339	Pyocyanin (VF0100)
AI128	0.05411	Bcp pili (AI128)
IA061	0.44739	bipartite heme receptor (IA061)
AI126	-0.22540	pili (AI126)
CVF215	-0.24432	Neutrophil-activating protein (HP-NAP) (CVF215)
VF0031	1.41435	Fimbriae (VF0031)
AI242	1.60664	Fibronectin-binding protein (AI242)
CVF269	0.19917	VAS type VI secretion system (CVF269)
CVF130	1.26701	Sortase A (CVF130)
VF0138	0.77175	F1 antigen (VF0138)
SS017	0.68139	ETT2 (SS017)
VF0015	0.34524	Isd (VF0015)
CVF672	1.59213	InlK (CVF672)
AI080	0.50303	H. influenzae biogroup aegyptius fimbriae, haf (AI080)
VF0223	0.60112	Dr adhesins (VF0223)
AI014	0.60112	Afimbrial adhesin, AFA-VII (AI014)
AI108	-0.00686	type IV pili (AI108)
CVF265	0.07305	Thermolabile hemolysin (CVF265)
AI012	0.59523	Afimbrial adhesin, AFA-III (AI012)
VF0357	0.35729	Gelatinase (VF0357)
CVF610	1.14011	EfaA (CVF610)
CVF117	1.58217	GRAB (CVF117)
AI244	1.57711	Fibronectin-binding protein (AI244)
VF0437	-0.07464	EtpA (VF0437)
CVF184	-1.66910	Pneumococcal iron acquisition (CVF184)
VF0544	0.48435	T6SS (VF0544)
AI107	-1.28611	type IV pili (AI107)
CVF681	0.54244	AAF/II fimbriae (CVF681)
CVF627	0.16874	Cholerae autoinducer-1 (CVF627)
VF0080	0.21436	IgA1 protease (VF0080)
CVF671	1.56680	InlC (CVF671)
VF0464	0.07284	OmpA (VF0464)
VF0239	-0.41833	K1 capsule (VF0239)
AI223	0.41186	Fibronectin-binding protein (AI223)
SS190	0.50305	FPI (Francisella pathogenicity island) (SS190)
SS124	-0.06327	HxuA- HxuB (SS124)
CVF497	-1.65326	P2 porin (CVF497)
VF0036	0.45812	Haemagglutinating pili (VF0036)
CVF712	1.55086	LifA/Efa1 (CVF712)
CVF791	0.09934	Extracellular hemolysin, AHH1 (CVF791)
CVF101	0.52321	Collagen adhesion (CVF101)
SS089	0.34215	IgA1 protease (SS089)
CVF811	1.55086	Sca4 (CVF811)
VF0351	-0.23495	Lsp (VF0351)
VF0134	0.81513	Myf/pH6 antigen (VF0134)
AI015	0.51660	Afimbrial adhesin, AfaE-VIII (AI015)
SS122	-0.44371	LspA2-LspB (SS122)
VF0060	0.18291	Type IV secretion system (VF0060)
VF0547	0.55161	Acid phosphatase (VF0547)
VF0081	0.15933	Porin (VF0081)
CVF115	0.87352	Collagen binding protein (CVF115)
VF0399	1.53990	RatB (VF0399)
VF0346	0.44439	LpeA (VF0346)
VF0555	0.86755	GadC (VF0555)
CVF082	1.53990	Leukotoxin D (CVF082)
AI230	1.53990	Fibronectin-binding protein (AI230)
CVF040	0.70142	Fra (CVF040)
CVF713	1.53432	NleB1 (CVF713)
VF0348	1.33636	Auto (VF0348)
CVF569	0.69501	PlcR (CVF569)
SS136	0.18220	HylA (SS136)
VF0359	0.53149	Hyaluronidase (VF0359)
CVF369	1.19200	Pertactin (CVF369)
VF0118	0.10082	TTSS (VF0118)
CVF738	-0.21904	Pet, SPATE (CVF738)
CVF372	1.18014	Adenylate cyclase (CVF372)
VF0087	-0.25578	LasB (VF0087)
CVF496	0.63672	IgA1 protease (CVF496)
SS154	-0.07137	NhhA (Neisseria Hia/Hsf homologue) (SS154)
SS093	0.90876	App (SS093)
AI157	0.02075	Fibronectin-binding protein (AI157)
AI271	0.06771	Fibrinogen binding protein (AI271)
CVF147	1.51712	C3-degrading protease (CVF147)
AI183	1.06638	Fibronectin-binding protein (AI183)
VF0289	0.02404	MgtC (VF0289)
AI044	0.07234	locus for diffuse adherence (lda), afimbrial adhesin (AI044)
VF0539	0.77088	EcbA (VF0539)
CVF183	0.71741	Pneumococcal iron uptake (CVF183)
IA066	0.25241	Transferrin and lactoferrin-mediated iron uptake (IA066)
CVF319	0.03792	Fused nitrate reductase (CVF319)
CVF564	1.49921	Non-hemolytic enterotoxin (Nhe) (CVF564)
CVF682	0.16343	AAF/III fimbriae (CVF682)
VF0092	-0.22567	PLC (VF0092)
IA070	-1.59588	Transferrin and lactoferrin-mediated iron uptake (IA070)
VF0283	-0.01046	PavA (VF0283)
CVF126	1.49921	Agglutinin receptor (CVF126)
CVF751	1.49307	Heat-labile enterotoxin (CVF751)
AI017	0.52612	Hda adhesin (AI017)
AI273	0.75736	Fibrinogen binding protein (AI273)
SS165	-0.47781	hemagglutinin (Hag)/M.catarrhalis IgD binding protein (MID) (SS165)
CVF158	1.49307	Streptococcal pyrogenic exotoxin G (CVF158)
CVF392	1.49307	Campylobacter invasion antigen (CVF392)
AI305	1.28823	Esp (AI305)
VF0353	1.28823	Esp (VF0353)
CVF099	1.48684	Clumping factor B (CVF099)
IA047	0.22622	NEAT-type surface protein, direct heme uptake system (IA047)
VF0115	-0.15505	CDT (VF0115)
CVF170	1.48684	CAMP factor (CVF170)
SS002	0.27501	T3SS (SS002)
TX034	-0.73135	Hd-CDT (TX034)
CVF036	1.03432	Vi antigen (CVF036)
VF0248	1.48053	Spes (VF0248)
VF0446	1.28182	LapB (VF0446)
SS011	0.23661	T3SS (SS011)
CVF742	0.09835	EspC, SPATE (CVF742)
VF0045	0.26610	IgA1 protease (VF0045)
AI260	0.79583	Fibronectin-binding protein (AI260)
SS117	-0.57681	YapH (SS117)
VF0065	0.42012	Mpl (VF0065)
VF0315	-0.53525	ESX-1 (VF0315)
TX041	-0.71578	Aa-CDT (TX041)
VF0278	0.85545	C5a peptidase (VF0278)
CVF360	0.93162	Fur-regulated gene (CVF360)
VF0294	-0.43281	SigF (VF0294)
CVF243	-1.08697	PI-PLC (CVF243)
AI049	1.25519	Mucoid Yersinia factor, Myf fimbriae (AI049)
SS094	0.23823	MspA(meningococcal serine protease A) (SS094)
VF0245	1.00685	C5a peptidase (VF0245)
AI248	0.99970	Fibronectin-binding protein (AI248)
VF0506	0.08288	FdeC (VF0506)
VF0574	1.10842	Invasin B/Ifp (VF0574)
TX175	0.42285	ZmpA (TX175)
VF0132	0.99243	Ail (VF0132)
TX009	0.90278	CDT: CDTa, CDTb (TX009)
VF0385	0.90278	CDT (VF0385)
AI181	0.54694	Fibronectin-binding protein (AI181)
SS167	-0.14752	Bartonella repeat protein A (BrpA) (SS167)
VF0267	-0.34355	Tbp (VF0267)
CVF653	-1.53683	FadE28 (CVF653)
SS199	-0.92925	ESX-4 (SS199)
VF0530	-0.77065	PI-2 (VF0530)
CVF097	1.43354	Staphylococcal protein A (CVF097)
CVF235	1.43354	Virulence protein (LPXTG protein) (CVF235)
VF0057	-0.17722	Lewis antigen (VF0057)
CVF748	0.33100	AIDA-I type (CVF748)
TX184	-0.29209	LepA (TX184)
VF0020	1.42639	SE (VF0020)
